Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,c_total_pages,c_total_duration,c_product_share,c_page_value_per_product,Revenue
8,203.6,1,0.0,42,1052.4,0.0,0.004545455,37.35725827,0.0,Nov,2,2,5,2,Returning_Visitor,0,51,1256.0,0.8235294117647058,0.8894585302380953,1
0,0.0,0,0.0,30,901.2888889,0.0,0.007333333,34.14841957,0.0,Dec,2,2,7,2,New_Visitor,0,30,901.2888889,1.0,1.1382806523333333,1
0,0.0,0,0.0,13,421.1666667,0.0,0.028205128,0.0,0.8,May,1,1,1,2,Returning_Visitor,0,13,421.1666667,1.0,0.0,0
2,40.0,0,0.0,5,558.5,0.0,0.028571429,0.0,0.0,Mar,2,2,7,2,New_Visitor,1,7,598.5,0.7142857142857143,0.0,0
0,0.0,0,0.0,16,1599.266667,0.0,0.013333333,0.0,0.0,May,4,2,2,13,Returning_Visitor,0,16,1599.266667,1.0,0.0,0
5,79.7,0,0.0,27,1051.55,0.00862069,0.016896552,9.128607511,0.0,Oct,2,5,1,13,Returning_Visitor,0,32,1131.25,0.84375,0.3380965744814815,0
11,1640.590909,0,0.0,16,1849.833333,0.0,0.013636364,10.78136364,0.0,Mar,1,1,2,3,Returning_Visitor,0,27,3490.424242,0.5925925925925926,0.6738352275,0
3,81.6,0,0.0,9,1346.2,0.0,0.016666667,0.0,0.0,Nov,2,2,2,3,New_Visitor,0,12,1427.8,0.75,0.0,0
8,125.7333333,0,0.0,7,81.66666667,0.033333333,0.024166667,0.0,0.0,Sep,2,2,1,1,Returning_Visitor,0,15,207.39999997,0.4666666666666667,0.0,0
3,139.0,0,0.0,10,277.1428571,0.0,0.007692308,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,1,13,416.1428571,0.7692307692307693,0.0,0
0,0.0,0,0.0,2,19.0,0.0,0.1,0.0,0.0,May,1,1,3,3,Returning_Visitor,0,2,19.0,1.0,0.0,0
1,14.0,0,0.0,7,170.75,0.0,0.025,0.0,0.0,Nov,1,1,1,2,New_Visitor,0,8,184.75,0.875,0.0,0
1,0.0,0,0.0,7,37.0,0.083333333,0.108333333,0.0,0.6,May,1,1,2,4,Returning_Visitor,0,8,37.0,0.875,0.0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,20,Returning_Visitor,0,1,0.0,1.0,0.0,0
12,739.2091954,1,16.0,21,1321.059195,0.009032258,0.025133361,78.34560177,0.0,Mar,2,2,1,8,Returning_Visitor,0,34,2076.2683904,0.6176470588235294,3.7307429414285713,1
7,98.8,0,0.0,5,69.4,0.022222222,0.033333333,0.0,0.0,Jul,3,2,2,5,New_Visitor,1,12,168.2,0.4166666666666667,0.0,0
8,157.0,4,60.0,24,1192.5,0.015151515,0.033760684,5.689554113,0.0,May,2,2,1,7,Returning_Visitor,0,36,1409.5,0.6666666666666666,0.23706475470833333,0
0,0.0,0,0.0,7,666.0,0.0,0.014285714,0.0,0.0,Feb,1,1,6,2,Returning_Visitor,0,7,666.0,1.0,0.0,0
0,0.0,0,0.0,14,207.1666667,0.042857143,0.083333333,0.0,0.6,May,2,2,7,11,Returning_Visitor,0,14,207.1666667,1.0,0.0,0
0,0.0,0,0.0,3,109.0,0.0,0.033333333,0.0,0.0,May,3,2,4,4,Returning_Visitor,1,3,109.0,1.0,0.0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,1,8,1,11,Returning_Visitor,0,1,0.0,1.0,0.0,0
0,0.0,0,0.0,2,404.0,0.0,0.1,0.0,0.0,May,2,2,6,13,Returning_Visitor,0,2,404.0,1.0,0.0,0
10,295.6940559,0,0.0,29,785.474359,0.0,0.001481481,34.99166667,0.0,May,2,2,5,4,Returning_Visitor,1,39,1081.1684149,0.7435897435897436,1.2066091955172413,1
1,41.4,0,0.0,30,684.6,0.019354839,0.041935484,0.0,0.0,Aug,2,2,5,1,Returning_Visitor,0,31,726.0,0.967741935483871,0.0,0
0,0.0,0,0.0,11,335.0,0.036363636,0.060606061,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,1,11,335.0,1.0,0.0,0
