scenario,visitor_type,model,version,threshold,segment_size,buyers,predicted_positive,tn,fp,fn,tp,precision,recall,f1,roc_auc,pr_auc,expected_value_test,baseline_no_action_value_test,incremental_value_test,estimated_annual_value,estimated_annual_incremental_value
global_conservative,ALL,Random Forest,final_test,0.05,2441,382,1580,855,1204,6,376,0.2379746835443038,0.9842931937172775,0.38328236493374107,0.9210000025427889,0.6940099020564094,13040.0,-30560.0,43600.0,65200.0,218000.0
global_conservative,ALL,Random Forest,final_test,0.06,2441,382,1459,973,1086,9,373,0.2556545579163811,0.9764397905759162,0.4052145573058121,0.9210000025427889,0.6940099020564094,14860.0,-30560.0,45420.0,74300.0,227100.0
global_conservative,ALL,Random Forest,final_test,0.07,2441,382,1366,1065,994,10,372,0.27232796486090777,0.9738219895287958,0.425629290617849,0.9210000025427889,0.6940099020564094,16520.0,-30560.0,47080.0,82600.0,235400.0
global_conservative,ALL,Random Forest,final_test,0.08,2441,382,1259,1169,890,13,369,0.2930897537728356,0.9659685863874345,0.44972577696526506,0.9210000025427889,0.6940099020564094,18060.0,-30560.0,48620.0,90300.0,243100.0
global_conservative,ALL,Random Forest,final_test,0.09,2441,382,1187,1239,820,15,367,0.3091828138163437,0.9607329842931938,0.4678138942001275,0.9210000025427889,0.6940099020564094,19100.0,-30560.0,49660.0,95500.0,248300.0
global_conservative,ALL,Random Forest,final_test,0.1,2441,382,1122,1300,759,19,363,0.3235294117647059,0.9502617801047121,0.48271276595744683,0.9210000025427889,0.6940099020564094,19600.0,-30560.0,50160.0,98000.0,250800.0
global_conservative,ALL,Random Forest,final_test,0.11,2441,382,1069,1353,706,19,363,0.33956969130028064,0.9502617801047121,0.5003445899379738,0.9210000025427889,0.6940099020564094,20660.0,-30560.0,51220.0,103300.0,256100.0
global_conservative,ALL,Random Forest,final_test,0.12,2441,382,994,1425,634,22,360,0.36217303822937624,0.9424083769633508,0.5232558139534884,0.9210000025427889,0.6940099020564094,21560.0,-30560.0,52120.0,107800.0,260600.0
global_conservative,ALL,Random Forest,final_test,0.13,2441,382,956,1462,597,23,359,0.37552301255230125,0.9397905759162304,0.5366218236173393,0.9210000025427889,0.6940099020564094,22120.0,-30560.0,52680.0,110600.0,263400.0
global_conservative,ALL,Random Forest,final_test,0.14,2441,382,925,1492,567,24,358,0.387027027027027,0.93717277486911,0.5478194338179035,0.9210000025427889,0.6940099020564094,22540.0,-30560.0,53100.0,112700.0,265500.0
global_conservative,ALL,Random Forest,final_test,0.15,2441,382,891,1524,535,26,356,0.3995510662177329,0.9319371727748691,0.5593087195600943,0.9210000025427889,0.6940099020564094,22820.0,-30560.0,53380.0,114100.0,266900.0
global_conservative,ALL,Random Forest,final_test,0.16,2441,382,869,1546,513,26,356,0.4096662830840046,0.9319371727748691,0.5691446842525979,0.9210000025427889,0.6940099020564094,23260.0,-30560.0,53820.0,116300.0,269100.0
global_conservative,ALL,Random Forest,final_test,0.17,2441,382,837,1575,484,29,353,0.4217443249701314,0.9240837696335078,0.579163248564397,0.9210000025427889,0.6940099020564094,23300.0,-30560.0,53860.0,116500.0,269300.0
global_conservative,ALL,Random Forest,final_test,0.18,2441,382,815,1595,464,31,351,0.4306748466257669,0.918848167539267,0.5864661654135338,0.9210000025427889,0.6940099020564094,23340.0,-30560.0,53900.0,116700.0,269500.0
global_conservative,ALL,Random Forest,final_test,0.19,2441,382,788,1621,438,32,350,0.44416243654822335,0.9162303664921466,0.5982905982905983,0.9210000025427889,0.6940099020564094,23680.0,-30560.0,54240.0,118400.0,271200.0
global_conservative,ALL,Random Forest,final_test,0.2,2441,382,765,1643,416,33,349,0.4562091503267974,0.9136125654450262,0.6085440278988666,0.9210000025427889,0.6940099020564094,23940.0,-30560.0,54500.0,119700.0,272500.0
global_conservative,ALL,Random Forest,final_test,0.21,2441,382,730,1673,386,38,344,0.4712328767123288,0.900523560209424,0.6187050359712231,0.9210000025427889,0.6940099020564094,23640.0,-30560.0,54200.0,118200.0,271000.0
global_conservative,ALL,Random Forest,final_test,0.22,2441,382,713,1687,372,41,341,0.4782608695652174,0.8926701570680629,0.6228310502283105,0.9210000025427889,0.6940099020564094,23380.0,-30560.0,53940.0,116900.0,269700.0
global_conservative,ALL,Random Forest,final_test,0.23,2441,382,703,1696,363,42,340,0.48364153627311524,0.8900523560209425,0.6267281105990783,0.9210000025427889,0.6940099020564094,23380.0,-30560.0,53940.0,116900.0,269700.0
global_conservative,ALL,Random Forest,final_test,0.24,2441,382,688,1708,351,45,337,0.4898255813953488,0.8821989528795812,0.6299065420560748,0.9210000025427889,0.6940099020564094,23080.0,-30560.0,53640.0,115400.0,268200.0
global_conservative,ALL,Random Forest,final_test,0.25,2441,382,671,1723,336,47,335,0.4992548435171386,0.8769633507853403,0.6362773029439696,0.9210000025427889,0.6940099020564094,23020.0,-30560.0,53580.0,115100.0,267900.0
global_conservative,ALL,Random Forest,final_test,0.26,2441,382,657,1733,326,51,331,0.5038051750380518,0.8664921465968587,0.6371511068334937,0.9210000025427889,0.6940099020564094,22500.0,-30560.0,53060.0,112500.0,265300.0
global_conservative,ALL,Random Forest,final_test,0.27,2441,382,638,1749,310,54,328,0.5141065830721003,0.8586387434554974,0.6431372549019608,0.9210000025427889,0.6940099020564094,22280.0,-30560.0,52840.0,111400.0,264200.0
global_conservative,ALL,Random Forest,final_test,0.28,2441,382,621,1765,294,55,327,0.5265700483091788,0.856020942408377,0.6520438683948155,0.9210000025427889,0.6940099020564094,22420.0,-30560.0,52980.0,112100.0,264900.0
global_conservative,ALL,Random Forest,final_test,0.29,2441,382,604,1780,279,57,325,0.5380794701986755,0.8507853403141361,0.6592292089249493,0.9210000025427889,0.6940099020564094,22360.0,-30560.0,52920.0,111800.0,264600.0
global_conservative,ALL,Random Forest,final_test,0.3,2441,382,592,1788,271,61,321,0.5422297297297297,0.8403141361256544,0.6591375770020534,0.9210000025427889,0.6940099020564094,21800.0,-30560.0,52360.0,109000.0,261800.0
global_conservative,ALL,Random Forest,final_test,0.31,2441,382,581,1796,263,64,318,0.5473321858864028,0.8324607329842932,0.660436137071651,0.9210000025427889,0.6940099020564094,21420.0,-30560.0,51980.0,107100.0,259900.0
global_conservative,ALL,Random Forest,final_test,0.32,2441,382,570,1804,255,67,315,0.5526315789473685,0.824607329842932,0.6617647058823529,0.9210000025427889,0.6940099020564094,21040.0,-30560.0,51600.0,105200.0,258000.0
global_conservative,ALL,Random Forest,final_test,0.33,2441,382,559,1815,244,67,315,0.5635062611806798,0.824607329842932,0.6695005313496281,0.9210000025427889,0.6940099020564094,21260.0,-30560.0,51820.0,106300.0,259100.0
global_conservative,ALL,Random Forest,final_test,0.34,2441,382,551,1822,237,68,314,0.5698729582577132,0.8219895287958116,0.6730975348338692,0.9210000025427889,0.6940099020564094,21220.0,-30560.0,51780.0,106100.0,258900.0
global_conservative,ALL,Random Forest,final_test,0.35,2441,382,538,1831,228,72,310,0.5762081784386617,0.8115183246073299,0.6739130434782609,0.9210000025427889,0.6940099020564094,20680.0,-30560.0,51240.0,103400.0,256200.0
global_conservative,ALL,Random Forest,final_test,0.36,2441,382,522,1842,217,77,305,0.5842911877394636,0.7984293193717278,0.6747787610619469,0.9210000025427889,0.6940099020564094,20000.0,-30560.0,50560.0,100000.0,252800.0
global_conservative,ALL,Random Forest,final_test,0.37,2441,382,513,1848,211,80,302,0.5886939571150097,0.7905759162303665,0.6748603351955307,0.9210000025427889,0.6940099020564094,19580.0,-30560.0,50140.0,97900.0,250700.0
global_conservative,ALL,Random Forest,final_test,0.38,2441,382,502,1856,203,83,299,0.5956175298804781,0.7827225130890052,0.6764705882352942,0.9210000025427889,0.6940099020564094,19200.0,-30560.0,49760.0,96000.0,248800.0
global_conservative,ALL,Random Forest,final_test,0.39,2441,382,492,1863,196,86,296,0.6016260162601627,0.774869109947644,0.6773455377574371,0.9210000025427889,0.6940099020564094,18800.0,-30560.0,49360.0,94000.0,246800.0
global_conservative,ALL,Random Forest,final_test,0.4,2441,382,481,1869,190,91,291,0.604989604989605,0.7617801047120419,0.6743916570104287,0.9210000025427889,0.6940099020564094,18020.0,-30560.0,48580.0,90100.0,242900.0
global_conservative,ALL,Random Forest,final_test,0.41,2441,382,473,1874,185,94,288,0.6088794926004228,0.7539267015706806,0.6736842105263158,0.9210000025427889,0.6940099020564094,17580.0,-30560.0,48140.0,87900.0,240700.0
global_conservative,ALL,Random Forest,final_test,0.42,2441,382,465,1880,179,96,286,0.6150537634408603,0.7486910994764397,0.6753246753246753,0.9210000025427889,0.6940099020564094,17340.0,-30560.0,47900.0,86700.0,239500.0
global_conservative,ALL,Random Forest,final_test,0.43,2441,382,462,1881,178,98,284,0.6147186147186147,0.743455497382199,0.6729857819905213,0.9210000025427889,0.6940099020564094,17000.0,-30560.0,47560.0,85000.0,237800.0
global_conservative,ALL,Random Forest,final_test,0.44,2441,382,456,1886,173,99,283,0.6206140350877193,0.7408376963350786,0.6754176610978521,0.9210000025427889,0.6940099020564094,16920.0,-30560.0,47480.0,84600.0,237400.0
global_conservative,ALL,Random Forest,final_test,0.45,2441,382,452,1889,170,100,282,0.6238938053097345,0.7382198952879581,0.6762589928057554,0.9210000025427889,0.6940099020564094,16800.0,-30560.0,47360.0,84000.0,236800.0
global_conservative,ALL,Random Forest,final_test,0.46,2441,382,439,1898,161,104,278,0.6332574031890661,0.7277486910994765,0.6772228989037758,0.9210000025427889,0.6940099020564094,16260.0,-30560.0,46820.0,81300.0,234100.0
global_conservative,ALL,Random Forest,final_test,0.47,2441,382,427,1904,155,110,272,0.6370023419203747,0.7120418848167539,0.6724351050679852,0.9210000025427889,0.6940099020564094,15300.0,-30560.0,45860.0,76500.0,229300.0
global_conservative,ALL,Random Forest,final_test,0.48,2441,382,420,1909,150,112,270,0.6428571428571429,0.7068062827225131,0.6733167082294265,0.9210000025427889,0.6940099020564094,15040.0,-30560.0,45600.0,75200.0,228000.0
global_conservative,ALL,Random Forest,final_test,0.49,2441,382,416,1912,147,113,269,0.6466346153846154,0.7041884816753927,0.6741854636591479,0.9210000025427889,0.6940099020564094,14920.0,-30560.0,45480.0,74600.0,227400.0
global_conservative,ALL,Random Forest,final_test,0.5,2441,382,406,1919,140,116,266,0.6551724137931034,0.6963350785340314,0.6751269035532995,0.9210000025427889,0.6940099020564094,14520.0,-30560.0,45080.0,72600.0,225400.0
global_conservative,ALL,Random Forest,final_test,0.51,2441,382,399,1923,136,119,263,0.6591478696741855,0.6884816753926701,0.6734955185659411,0.9210000025427889,0.6940099020564094,14060.0,-30560.0,44620.0,70300.0,223100.0
global_conservative,ALL,Random Forest,final_test,0.52,2441,382,393,1924,135,124,258,0.6564885496183206,0.675392670157068,0.6658064516129032,0.9210000025427889,0.6940099020564094,13180.0,-30560.0,43740.0,65900.0,218700.0
global_conservative,ALL,Random Forest,final_test,0.53,2441,382,381,1933,126,127,255,0.6692913385826772,0.6675392670157068,0.6684141546526867,0.9210000025427889,0.6940099020564094,12820.0,-30560.0,43380.0,64100.0,216900.0
global_conservative,ALL,Random Forest,final_test,0.54,2441,382,373,1937,122,131,251,0.6729222520107239,0.6570680628272252,0.6649006622516557,0.9210000025427889,0.6940099020564094,12180.0,-30560.0,42740.0,60900.0,213700.0
global_conservative,ALL,Random Forest,final_test,0.55,2441,382,362,1943,116,136,246,0.6795580110497238,0.643979057591623,0.6612903225806451,0.9210000025427889,0.6940099020564094,11400.0,-30560.0,41960.0,57000.0,209800.0
global_conservative,ALL,Random Forest,final_test,0.56,2441,382,354,1947,112,140,242,0.6836158192090396,0.6335078534031413,0.657608695652174,0.9210000025427889,0.6940099020564094,10760.0,-30560.0,41320.0,53800.0,206600.0
global_conservative,ALL,Random Forest,final_test,0.57,2441,382,343,1955,104,143,239,0.6967930029154519,0.6256544502617801,0.6593103448275862,0.9210000025427889,0.6940099020564094,10380.0,-30560.0,40940.0,51900.0,204700.0
global_conservative,ALL,Random Forest,final_test,0.58,2441,382,336,1960,99,145,237,0.7053571428571429,0.6204188481675392,0.6601671309192201,0.9210000025427889,0.6940099020564094,10120.0,-30560.0,40680.0,50600.0,203400.0
global_conservative,ALL,Random Forest,final_test,0.59,2441,382,325,1963,96,153,229,0.7046153846153846,0.599476439790576,0.6478076379066479,0.9210000025427889,0.6940099020564094,8740.0,-30560.0,39300.0,43700.0,196500.0
global_conservative,ALL,Random Forest,final_test,0.6,2441,382,315,1965,94,161,221,0.7015873015873015,0.5785340314136126,0.6341463414634146,0.9210000025427889,0.6940099020564094,7340.0,-30560.0,37900.0,36700.0,189500.0
global_conservative,ALL,Random Forest,final_test,0.61,2441,382,306,1972,87,163,219,0.7156862745098039,0.5732984293193717,0.6366279069767442,0.9210000025427889,0.6940099020564094,7120.0,-30560.0,37680.0,35600.0,188400.0
global_conservative,ALL,Random Forest,final_test,0.62,2441,382,296,1976,83,169,213,0.7195945945945946,0.5575916230366492,0.6283185840707964,0.9210000025427889,0.6940099020564094,6120.0,-30560.0,36680.0,30600.0,183400.0
global_conservative,ALL,Random Forest,final_test,0.63,2441,382,280,1983,76,178,204,0.7285714285714285,0.5340314136125655,0.6163141993957704,0.9210000025427889,0.6940099020564094,4640.0,-30560.0,35200.0,23200.0,176000.0
global_conservative,ALL,Random Forest,final_test,0.64,2441,382,271,1987,72,183,199,0.7343173431734318,0.5209424083769634,0.6094946401225115,0.9210000025427889,0.6940099020564094,3820.0,-30560.0,34380.0,19100.0,171900.0
global_conservative,ALL,Random Forest,final_test,0.65,2441,382,259,1990,69,192,190,0.7335907335907336,0.4973821989528796,0.592823712948518,0.9210000025427889,0.6940099020564094,2260.0,-30560.0,32820.0,11300.0,164100.0
global_conservative,ALL,Random Forest,final_test,0.66,2441,382,252,1993,66,196,186,0.7380952380952381,0.4869109947643979,0.5867507886435331,0.9210000025427889,0.6940099020564094,1600.0,-30560.0,32160.0,8000.0,160800.0
global_conservative,ALL,Random Forest,final_test,0.67,2441,382,246,1994,65,201,181,0.7357723577235772,0.4738219895287958,0.5764331210191083,0.9210000025427889,0.6940099020564094,720.0,-30560.0,31280.0,3600.0,156400.0
global_conservative,ALL,Random Forest,final_test,0.68,2441,382,233,1999,60,209,173,0.7424892703862661,0.45287958115183247,0.5626016260162602,0.9210000025427889,0.6940099020564094,-620.0,-30560.0,29940.0,-3100.0,149700.0
global_conservative,ALL,Random Forest,final_test,0.69,2441,382,218,2003,56,220,162,0.7431192660550459,0.42408376963350786,0.54,0.9210000025427889,0.6940099020564094,-2520.0,-30560.0,28040.0,-12600.0,140200.0
global_conservative,ALL,Random Forest,final_test,0.7,2441,382,212,2004,55,225,157,0.7405660377358491,0.4109947643979058,0.5286195286195287,0.9210000025427889,0.6940099020564094,-3400.0,-30560.0,27160.0,-17000.0,135800.0
global_conservative,ALL,Random Forest,final_test,0.71,2441,382,204,2010,49,227,155,0.7598039215686274,0.40575916230366493,0.5290102389078498,0.9210000025427889,0.6940099020564094,-3640.0,-30560.0,26920.0,-18200.0,134600.0
global_conservative,ALL,Random Forest,final_test,0.72,2441,382,190,2016,43,235,147,0.7736842105263158,0.38481675392670156,0.513986013986014,0.9210000025427889,0.6940099020564094,-4960.0,-30560.0,25600.0,-24800.0,128000.0
global_conservative,ALL,Random Forest,final_test,0.73,2441,382,184,2020,39,237,145,0.7880434782608695,0.3795811518324607,0.5123674911660777,0.9210000025427889,0.6940099020564094,-5240.0,-30560.0,25320.0,-26200.0,126600.0
