dimension,segment,sessions,buyers,conversion_rate
VisitorType,New_Visitor,1693,422,0.2492616656822209
VisitorType,Other,81,16,0.19753086419753085
VisitorType,Returning_Visitor,10431,1470,0.14092608570606846
Month,Aug,433,76,0.17551963048498845
Month,Dec,1706,216,0.12661195779601406
Month,Feb,181,3,0.016574585635359115
Month,Jul,432,66,0.1527777777777778
Month,June,285,29,0.10175438596491228
Month,Mar,1860,192,0.1032258064516129
Month,May,3329,365,0.10964253529588465
Month,Nov,2982,760,0.25486250838363517
Month,Oct,549,115,0.20947176684881602
Month,Sep,448,86,0.19196428571428573
Weekend,0,9346,1409,0.15075968328696768
Weekend,1,2859,499,0.1745365512416929
