threshold,tn,fp,fn,tp,expected_value,value_per_session
0.05,1147,912,3,379,28540.0,11.69192953707497
0.1,1438,621,17,365,28930.0,11.85170012290045
0.15,1592,467,30,352,28130.0,11.523965587873825
0.2,1670,389,44,338,26390.0,10.811142974190906
0.25,1719,340,51,331,25620.0,10.495698484227775
0.3,1781,278,64,318,23900.0,9.791069233920524
0.35,1824,235,76,306,22170.0,9.08234330192544
0.4,1855,204,84,298,21040.0,8.619418271200328
0.45,1876,183,92,290,19810.0,8.115526423596886
0.5,1904,155,101,281,18470.0,7.566571077427284
0.55,1920,139,112,270,16650.0,6.820975010241704
0.6,1936,123,120,262,15370.0,6.296599754199098
0.65,1949,110,133,249,13160.0,5.391233101188038
0.7,1966,93,144,238,11350.0,4.6497337156902905
0.75,1990,69,159,223,8890.0,3.641950020483408
0.8,2001,58,188,194,3780.0,1.548545678000819
0.85,2027,32,231,151,-3700.0,-1.5157722244981564
0.9,2046,13,292,90,-14490.0,-5.936091765669808
0.95,2057,2,350,32,-24820.0,-10.167963949201146
