model,phase,threshold,accuracy,precision,recall,f1,roc_auc
threshold_candidate,train_validation_threshold,0.1,0.7591151167554281,0.3851276359600444,0.910761154855643,0.5413416536661466,0.9156652141783247
threshold_candidate,train_validation_threshold,0.12,0.7742728390004097,0.40023474178403756,0.89501312335958,0.5531224655312247,0.9156652141783247
threshold_candidate,train_validation_threshold,0.14,0.786153215895125,0.4132841328413284,0.8818897637795275,0.5628140703517588,0.9156652141783247
threshold_candidate,train_validation_threshold,0.16,0.7963949201147071,0.4254498714652956,0.868766404199475,0.5711820534943917,0.9156652141783247
threshold_candidate,train_validation_threshold,0.18,0.8049979516591561,0.4364123159303882,0.8556430446194225,0.5780141843971631,0.9156652141783247
threshold_candidate,train_validation_threshold,0.2,0.8140106513723884,0.4488078541374474,0.8398950131233596,0.5850091407678245,0.9156652141783247
threshold_candidate,train_validation_threshold,0.22,0.820565342072921,0.4580265095729013,0.8162729658792651,0.5867924528301887,0.9156652141783247
threshold_candidate,train_validation_threshold,0.24,0.8336747234739861,0.48043818466353677,0.8057742782152231,0.6019607843137255,0.9156652141783247
threshold_candidate,train_validation_threshold,0.26,0.8410487505120852,0.49434571890145396,0.8031496062992126,0.612,0.9156652141783247
threshold_candidate,train_validation_threshold,0.28,0.8455551003687014,0.5033333333333333,0.7926509186351706,0.6156982670744139,0.9156652141783247
threshold_candidate,train_validation_threshold,0.3,0.8521097910692339,0.5171232876712328,0.7926509186351706,0.6259067357512953,0.9156652141783247
threshold_candidate,train_validation_threshold,0.32,0.8598934862761164,0.5346358792184724,0.7900262467191601,0.6377118644067796,0.9156652141783247
threshold_candidate,train_validation_threshold,0.34,0.8627611634575993,0.5421245421245421,0.7769028871391076,0.6386192017259978,0.9156652141783247
threshold_candidate,train_validation_threshold,0.36,0.8648095043015158,0.5480225988700564,0.7637795275590551,0.6381578947368421,0.9156652141783247
threshold_candidate,train_validation_threshold,0.38,0.8680868496517821,0.5570599613152805,0.7559055118110236,0.6414253897550112,0.9156652141783247
threshold_candidate,train_validation_threshold,0.4,0.8713641950020483,0.5660749506903353,0.7532808398950132,0.6463963963963963,0.9156652141783247
threshold_candidate,train_validation_threshold,0.42,0.8746415403523147,0.5760649087221096,0.7454068241469817,0.6498855835240275,0.9156652141783247
threshold_candidate,train_validation_threshold,0.44,0.8770995493650143,0.5838509316770186,0.7401574803149606,0.6527777777777778,0.9156652141783247
threshold_candidate,train_validation_threshold,0.46,0.8779188857025809,0.587737843551797,0.7296587926509186,0.6510538641686182,0.9156652141783247
threshold_candidate,train_validation_threshold,0.48,0.8807865628840639,0.5969827586206896,0.7270341207349081,0.6556213017751479,0.9156652141783247
threshold_candidate,train_validation_threshold,0.5,0.8840639082343302,0.6079295154185022,0.7244094488188977,0.6610778443113773,0.9156652141783247
threshold_candidate,train_validation_threshold,0.52,0.88529291274068,0.6139954853273137,0.7139107611548556,0.6601941747572816,0.9156652141783247
threshold_candidate,train_validation_threshold,0.54,0.8881605899221631,0.6267605633802817,0.7007874015748031,0.6617100371747212,0.9156652141783247
threshold_candidate,train_validation_threshold,0.56,0.889389594428513,0.635036496350365,0.6850393700787402,0.6590909090909091,0.9156652141783247
threshold_candidate,train_validation_threshold,0.58,0.891028267103646,0.6419753086419753,0.6824146981627297,0.6615776081424937,0.9156652141783247
threshold_candidate,train_validation_threshold,0.6,0.8922572716099959,0.6505102040816326,0.6692913385826772,0.6597671410090556,0.9156652141783247
threshold_candidate,train_validation_threshold,0.62,0.8930766079475625,0.6578947368421053,0.6561679790026247,0.657030223390276,0.9156652141783247
threshold_candidate,train_validation_threshold,0.64,0.8955346169602622,0.675,0.6377952755905512,0.6558704453441295,0.9156652141783247
threshold_candidate,train_validation_threshold,0.66,0.8951249487914789,0.6770538243626062,0.6272965879265092,0.6512261580381471,0.9156652141783247
threshold_candidate,train_validation_threshold,0.68,0.8971732896353953,0.6934523809523809,0.6115485564304461,0.6499302649930265,0.9156652141783247
threshold_candidate,train_validation_threshold,0.7,0.8979926259729619,0.70625,0.5931758530183727,0.644793152639087,0.9156652141783247
threshold_candidate,train_validation_threshold,0.72,0.8988119623105285,0.7189542483660131,0.5774278215223098,0.6404657933042213,0.9156652141783247
threshold_candidate,train_validation_threshold,0.74,0.9004506349856616,0.7379310344827587,0.5616797900262467,0.6378539493293591,0.9156652141783247
threshold_candidate,train_validation_threshold,0.76,0.9000409668168783,0.7472924187725631,0.5433070866141733,0.6291793313069909,0.9156652141783247
threshold_candidate,train_validation_threshold,0.78,0.9012699713232282,0.7713178294573644,0.5223097112860893,0.622848200312989,0.9156652141783247
threshold_candidate,train_validation_threshold,0.8,0.899631298648095,0.7905982905982906,0.48556430446194226,0.6016260162601627,0.9156652141783247
threshold_candidate,train_validation_threshold,0.82,0.8988119623105285,0.8101851851851852,0.45931758530183725,0.5862646566164154,0.9156652141783247
threshold_candidate,train_validation_threshold,0.84,0.8955346169602622,0.8351063829787234,0.4120734908136483,0.5518453427065027,0.9156652141783247
threshold_candidate,train_validation_threshold,0.86,0.8902089307660794,0.834319526627219,0.3700787401574803,0.5127272727272727,0.9156652141783247
threshold_candidate,train_validation_threshold,0.88,0.8857025809094633,0.8695652173913043,0.31496062992125984,0.4624277456647399,0.9156652141783247
threshold_candidate,train_validation_threshold,0.9,0.8787382220401475,0.897196261682243,0.25196850393700787,0.39344262295081966,0.9156652141783247
