decile,sessions,positives,response_rate,cumulative_gain,cumulative_lift
1,245,188,0.7673469387755102,0.49214659685863876,4.903387114007907
2,244,108,0.4426229508196721,0.774869109947644,3.8680071521108363
3,244,43,0.1762295081967213,0.887434554973822,2.9552902437804907
4,244,25,0.10245901639344263,0.9528795811518325,2.380735985252429
5,244,15,0.06147540983606557,0.9921465968586387,1.9834806248418815
6,244,3,0.012295081967213115,1.0,1.6662116040955632
7,244,0,0.0,1.0,1.4283206553540082
8,244,0,0.0,1.0,1.2498719918074757
9,244,0,0.0,1.0,1.1110605370960402
10,244,0,0.0,1.0,1.0
