model,phase,cv_folds,train_accuracy,train_accuracy_std,cv_accuracy,cv_accuracy_std,train_precision,train_precision_std,cv_precision,cv_precision_std,train_recall,train_recall_std,cv_recall,cv_recall_std,train_f1,train_f1_std,cv_f1,cv_f1_std,train_roc_auc,train_roc_auc_std,cv_roc_auc,cv_roc_auc_std,stage,best_params
xgboost_initial,advanced_initial,5,0.9199354527989496,0.001233795435919,0.9013727829400754,0.0048455001131978,0.7373355517501599,0.0055843283809052,0.6789798376508456,0.0181437961110619,0.7576995475356132,0.0053820567047055,0.7011764705882353,0.0238049534932271,0.7473552617595464,0.0035148050559964,0.6895868985354668,0.0149564056856466,0.958591528802622,0.0009722724371548,0.9292014565726392,0.0058282478391981,baseline_or_initial,
random_forest,baseline,5,1.0,0.0,0.897685832221131,0.0060197527513636,1.0,0.0,0.6599039325461922,0.0205663261885173,1.0,0.0,0.7142890817529197,0.0252190879962014,1.0,0.0,0.6857180461759894,0.0175959186354755,1.0,4.965068306494546e-17,0.926872838198996,0.0048195348919476,baseline_or_initial,
lightgbm_initial,advanced_initial,5,0.9707087035672446,0.0008667692020026,0.900143537055224,0.003281946932963,0.9312081504305132,0.0059791535499185,0.6922294237606895,0.0134366267670693,0.8774569353257877,0.0046048734405076,0.6507210971820423,0.0150261317493634,0.903510997135066,0.0027293402133395,0.6706925166668358,0.0105720573949566,0.9933627483275912,0.0003509458228929,0.9274475416538064,0.0058756433559129,baseline_or_initial,
svm,baseline,5,0.8985046951851418,0.0024744051621927,0.869316488714294,0.0049737066751985,0.6293434550465833,0.0067728424339397,0.562529083267328,0.0120958673618703,0.8532115573099178,0.0038694914304815,0.7372356155576985,0.0300138103397919,0.7243626352585395,0.0055118053991159,0.6379418677960966,0.0162630436204245,0.9466952074161356,0.0014689210902528,0.8941538828712112,0.0075978627477386,baseline_or_initial,
logistic_regression,baseline,5,0.8471168739871686,0.0022385290282038,0.8438153156556119,0.0081567457646527,0.5071625005302485,0.0048373297695009,0.5005897312029903,0.0172990174958519,0.778178998670802,0.0043694760315814,0.763445837351334,0.0204173133850712,0.6140700826166364,0.0028144215145878,0.604539855076485,0.0165765925160434,0.9069016904026208,0.0022898144568921,0.8962767863843603,0.0099041651743486,baseline_or_initial,
decision_tree,baseline,5,1.0,0.0,0.8547728693980676,0.006815621193165,1.0,0.0,0.5308170212562144,0.0181410396011553,1.0,0.0,0.6022650808957463,0.0373072552506555,1.0,0.0,0.5641308347750006,0.0261171604138635,1.0,0.0,0.7519096226390887,0.0190074630939104,baseline_or_initial,
knn,baseline,5,0.849703026237566,0.0036788665711293,0.7499994229138862,0.0059816912146955,0.5099229311756772,0.0061104399717355,0.3545759986526219,0.0069189782889334,0.9924631785287524,0.0025623797333579,0.7306418086360227,0.0272909636468418,0.6736775205238265,0.0053078274590877,0.4773097906640424,0.0098614321106858,0.9910474714595112,0.0005435992908984,0.8032551412200537,0.0125730654332673,baseline_or_initial,
xgboost,tuned,5,0.907363819178423,0.0011582549253784755,0.8972759436931833,0.005647627659093683,0.6810206898688256,0.0046039227310815094,0.6524342681747319,0.01840611499809084,0.7662190357272325,0.0025531698281084365,0.7352469731061823,0.03036154352104109,0.7210994929056616,0.0024916675177294365,0.6909564122244111,0.017459571052711443,0.9498335957293442,0.0012101447875455338,0.9305411679957928,0.006064519659552676,tuned,"{'classifier__subsample': 0.9, 'classifier__n_estimators': 240, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.03, 'classifier__colsample_bytree': 1.0}"
lightgbm,tuned,5,0.9031390899556554,0.0012395810267380473,0.8954325732584589,0.0057446100405758845,0.6653129350542847,0.005578031911756713,0.6451593301810347,0.019240402035055715,0.7653997663833729,0.003962752597513461,0.7378720668595307,0.030230560340525937,0.7118254771241176,0.001968243839831281,0.6879425256512334,0.016718013337327125,0.9480196313537608,0.0009458359104900344,0.931515895157267,0.005245648699492523,tuned,"{'classifier__num_leaves': 15, 'classifier__n_estimators': 160, 'classifier__min_child_samples': 40, 'classifier__learning_rate': 0.03}"
random_forest,tuned,5,1.0,0.0,0.897685832221131,0.006019752751363618,1.0,0.0,0.6599039325461922,0.02056632618851732,1.0,0.0,0.7142890817529197,0.025219087996201494,1.0,0.0,0.6857180461759894,0.017595918635475504,1.0,4.965068306494546e-17,0.9268728381989961,0.004819534891947622,tuned,"{'classifier__n_estimators': 160, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None, 'classifier__class_weight': None}"
