model,model_id,type,artifact_path,recommended,priority,accuracy,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,visitors_impacted,benefit_tp_usd,cost_fp_usd,cost_fn_usd,value_tn_usd,intervention_cost_usd,net_value_usd,roi_pct,average_purchase_usd,gross_margin_pct,incentive_cost_usd,contact_cost_usd,uplift_pct,false_negative_cost_usd,true_negative_value_usd,incremental_vs_best_baseline_usd,incremental_vs_no_model_usd,difference_vs_xgboost_usd,recommendation
XGBoost,xgboost_tuned,tuned,models/c_final_model.pkl,True,1,0.8336747234739861,0.4830508474576271,0.8952879581151832,0.6275229357798165,0.9335613791069217,0.15,342,366,40,1693,708,7660.799999999999,-3660.0,-2400.0,0.0,7080.0,1600.7999999999993,22.610169491525415,180.0,0.45,8.0,2.0,0.4,60.0,0.0,277.1999999999998,24520.8,0.0,"Modelo recomendado: combina desempeno tecnico, valor economico y facilidad de despliegue."
LightGBM,lightgbm_tuned,tuned,models/c_tuned_lightgbm.pkl,False,2,0.8099139696845555,0.44743589743589746,0.9136125654450262,0.6006884681583476,0.9353909156328111,0.15,349,431,33,1628,780,7817.599999999999,-4310.0,-1980.0,0.0,7800.0,1527.5999999999995,19.58461538461538,180.0,0.45,8.0,2.0,0.4,60.0,0.0,204.0,24447.6,-73.19999999999982,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion."
Random Forest,random_forest_tuned,tuned,models/c_tuned_random_forest.pkl,False,3,0.8312167144612863,0.4788135593220339,0.887434554973822,0.6220183486238532,0.9277905199748772,0.15,339,369,43,1690,708,7593.599999999999,-3690.0,-2580.0,0.0,7080.0,1323.5999999999995,18.69491525423728,180.0,0.45,8.0,2.0,0.4,60.0,0.0,0.0,24243.6,-277.1999999999998,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion."
Random Forest baseline,random_forest_baseline,baseline,models/c_baseline_random_forest.pkl,False,10,0.8312167144612863,0.4788135593220339,0.887434554973822,0.6220183486238532,0.9277905199748772,0.15,339,369,43,1690,708,7593.599999999999,-3690.0,-2580.0,0.0,7080.0,1323.5999999999995,18.69491525423728,180.0,0.45,8.0,2.0,0.4,60.0,0.0,0.0,24243.6,-277.1999999999998,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion."
LightGBM inicial,lightgbm_initial,advanced_initial,models/c_baseline_lightgbm_base.pkl,False,21,0.8586644817697665,0.5301794453507341,0.8507853403141361,0.6532663316582915,0.9338023083436529,0.15,325,288,57,1771,613,7279.999999999999,-2880.0,-3420.0,0.0,6130.0,979.9999999999991,15.986949429037505,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-343.60000000000036,23900.0,-620.8000000000002,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion."
XGBoost inicial,xgboost_initial,advanced_initial,models/c_baseline_xgboost_base.pkl,False,20,0.8607128226136829,0.5346534653465347,0.8481675392670157,0.6558704453441295,0.9344291057774703,0.15,324,282,58,1777,606,7257.599999999999,-2820.0,-3480.0,0.0,6060.0,957.5999999999995,15.801980198019795,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-366.0,23877.6,-643.1999999999998,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion."
SVM baseline,svm_baseline,baseline,models/c_baseline_svm.pkl,False,13,0.6960262187628021,0.3317757009345794,0.9293193717277487,0.4889807162534435,0.8989921656677745,0.15,355,715,27,1344,1070,7951.999999999999,-7150.0,-1620.0,0.0,10700.0,-818.0000000000009,-7.64485981308412,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-2141.6000000000004,22102.0,-2418.8,No recomendado bajo los supuestos actuales por bajo valor neto o exceso de costo.
Logistic Regression baseline,logistic_regression_baseline,baseline,models/c_baseline_logistic_regression.pkl,False,11,0.6358049979516591,0.2967121090617482,0.9685863874345549,0.45426642111724985,0.9106648375539389,0.15,370,877,12,1182,1247,8288.0,-8770.0,-720.0,0.0,12470.0,-1202.0,-9.639133921411387,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-2525.5999999999995,21718.0,-2802.7999999999993,No recomendado bajo los supuestos actuales por bajo valor neto o exceso de costo.
Decision Tree baseline,decision_tree_baseline,baseline,models/c_baseline_decision_tree.pkl,False,12,0.8857025809094633,0.6217494089834515,0.6884816753926701,0.653416149068323,0.8053870251659806,0.15,263,160,119,1899,423,5891.2,-1600.0,-7140.0,0.0,4230.0,-2848.8,-67.34751773049645,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-4172.4,20071.2,-4449.599999999999,No recomendado bajo los supuestos actuales por bajo valor neto o exceso de costo.
KNN baseline,knn_baseline,baseline,models/c_baseline_knn.pkl,False,14,0.44080294961081523,0.21638776687824582,0.981675392670157,0.3546099290780142,0.7781531216546436,0.15,375,1358,7,701,1733,8400.0,-13580.0,-420.0,0.0,17330.0,-5600.0,-32.31390652048471,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-6923.599999999999,17320.0,-7200.799999999999,No recomendado bajo los supuestos actuales por bajo valor neto o exceso de costo.
Intervenir a todos,baseline_intervene_all,operational_baseline,,False,99,0.15649324047521507,0.15649324047521507,1.0,0.27063407722281263,0.5,0.5,382,2059,0,0,2441,8556.8,-20590.0,-0.0,0.0,24410.0,-12033.2,-49.296190086030315,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-13356.8,10886.8,-13634.0,Referencia operativa para comparar decisiones sin modelo.
Aleatorio misma cobertura,baseline_random,operational_baseline,,False,99,0.6435886931585416,0.16483516483516483,0.31413612565445026,0.21621621621621623,0.5048554551719052,0.7099549365014338,120,608,262,1451,728,2688.0,-6080.0,-15720.0,0.0,7280.0,-19112.0,-262.5274725274725,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-20435.6,3808.0,-20712.8,Referencia operativa para comparar decisiones sin modelo.
Sin modelo,baseline_no_model,operational_baseline,,False,99,0.8435067595247849,0.0,0.0,0.0,0.5,0.5,0,0,382,2059,0,0.0,-0.0,-22920.0,0.0,0.0,-22920.0,0.0,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-24243.6,0.0,-24520.8,Referencia operativa para comparar decisiones sin modelo.
