model,model_id,type,recommended,accuracy,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,visitors_impacted,benefit_tp_usd,cost_fp_usd,cost_fn_usd,value_tn_usd,intervention_cost_usd,net_value_usd,roi_pct,average_purchase_usd,gross_margin_pct,incentive_cost_usd,contact_cost_usd,uplift_pct,false_negative_cost_usd,true_negative_value_usd,is_best_value_threshold,is_best_f1_threshold
XGBoost,xgboost_tuned,tuned,True,0.6194182712003278,0.29042145593869734,0.9921465968586387,0.44931831653823356,0.9335613791069217,0.05,379,926,3,1133,1305,8489.6,-9260.0,-180.0,0.0,13050.0,-950.3999999999996,-7.282758620689653,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.6698074559606718,0.3197278911564626,0.9842931937172775,0.48267008985879334,0.9335613791069217,0.06,376,800,6,1259,1176,8422.4,-8000.0,-360.0,0.0,11760.0,62.399999999999636,0.5306122448979561,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.6935682097501025,0.3357271095152603,0.9790575916230366,0.5,0.9335613791069217,0.07,374,740,8,1319,1114,8377.6,-7400.0,-480.0,0.0,11140.0,497.60000000000036,4.466786355475767,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.7005325686194183,0.3400549954170486,0.9712041884816754,0.5037338764426341,0.9335613791069217,0.08,371,720,11,1339,1091,8310.4,-7200.0,-660.0,0.0,10910.0,450.39999999999964,4.1283226397800155,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.7140516181892667,0.34980988593155893,0.9633507853403142,0.5132496513249651,0.9335613791069217,0.09,368,684,14,1375,1052,8243.199999999999,-6840.0,-840.0,0.0,10520.0,563.1999999999989,5.35361216730037,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.7283900040966816,0.361028684470821,0.9554973821989529,0.5240488155061019,0.9335613791069217,0.1,365,646,17,1413,1011,8175.999999999999,-6460.0,-1020.0,0.0,10110.0,695.9999999999991,6.884272997032633,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.7529700942236788,0.3828207847295864,0.9450261780104712,0.5449056603773584,0.9335613791069217,0.11,361,582,21,1477,943,8086.4,-5820.0,-1260.0,0.0,9430.0,1006.3999999999996,10.672322375397664,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.7791888570258091,0.4096662830840046,0.9319371727748691,0.5691446842525979,0.9335613791069217,0.12,356,513,26,1546,869,7974.4,-5130.0,-1560.0,0.0,8690.0,1284.3999999999996,14.78020713463751,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.794756247439574,0.4280532043530834,0.9267015706806283,0.5856079404466501,0.9335613791069217,0.13,354,473,28,1586,827,7929.599999999999,-4730.0,-1680.0,0.0,8270.0,1519.5999999999995,18.374848851269643,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.814829987709955,0.4540682414698163,0.9057591623036649,0.6048951048951049,0.9335613791069217,0.14,346,416,36,1643,762,7750.4,-4160.0,-2160.0,0.0,7620.0,1430.3999999999996,18.77165354330708,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.8336747234739861,0.4830508474576271,0.8952879581151832,0.6275229357798165,0.9335613791069217,0.15,342,366,40,1693,708,7660.799999999999,-3660.0,-2400.0,0.0,7080.0,1600.7999999999993,22.610169491525415,180.0,0.45,8.0,2.0,0.4,60.0,0.0,True,False
XGBoost,xgboost_tuned,tuned,True,0.8426874231872183,0.49851190476190477,0.8769633507853403,0.635673624288425,0.9335613791069217,0.16,335,337,47,1722,672,7503.999999999999,-3370.0,-2820.0,0.0,6720.0,1313.999999999999,19.553571428571416,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
XGBoost,xgboost_tuned,tuned,True,0.849242113887751,0.5108695652173914,0.8612565445026178,0.6413255360623782,0.9335613791069217,0.17,329,315,53,1744,644,7369.599999999999,-3150.0,-3180.0,0.0,6440.0,1039.5999999999995,16.142857142857135,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
