model,version,threshold,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc,test_predicted_positive,test_tn,test_fp,test_fn,test_tp,accuracy_cv_mean,accuracy_cv_std,f1_cv_mean,f1_cv_std,precision_cv_mean,precision_cv_std,recall_cv_mean,recall_cv_std,roc_auc_cv_mean,roc_auc_cv_std,time_seconds,best_params,model_path
Random Forest,final_test,0.5,0.8951249487914789,0.6751269035532995,0.6551724137931034,0.6963350785340314,0.9210000025427889,0.6940099020564094,406,1919,140,116,266,,,,,,,,,,,,,
XGBoost,tuned,0.5,0.899631298648095,0.6720214190093708,0.6876712328767123,0.6570680628272252,0.9318697888722478,0.7438391609884235,365,1945,114,131,251,0.9449501487985621,0.002038924708707903,0.9449587156275949,0.0020745134671914557,0.9447893744224446,0.0017593187511796948,0.9451328835599885,0.0031699797063297554,0.988469272165655,0.0013020276167884873,6.01,"{'colsample_bytree': np.float64(0.7297380084021096), 'gamma': np.float64(0.061043977350336676), 'learning_rate': np.float64(0.03359658305322321), 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 484, 'subsample': np.float64(0.6911740650167767)}",D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\tuned_xgboost.pkl
LightGBM,base,0.5,0.8979926259729619,0.6684420772303595,0.6802168021680217,0.6570680628272252,0.9316542875232984,0.7360899185772876,369,1941,118,131,251,0.9418545309898787,0.0033981905935197405,0.9416912205842312,0.0035320516983361754,0.9442366254833608,0.00308500989564453,0.9391838500126738,0.006175020811610894,0.9871321499970268,0.0016510937752765597,12.15,,D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\lightgbm_base.pkl
LightGBM,tuned,0.5,0.8984022941417452,0.6675603217158177,0.6840659340659341,0.6518324607329843,0.9315404977254754,0.7411703736971362,364,1944,115,133,249,0.9427649645682632,0.0031909609765318264,0.9427976055110328,0.0031657884950278504,0.9422919278713421,0.004010640993162818,0.9433117583603021,0.0033762810458589387,0.9877199013981439,0.0013829124503111855,2.43,"{'colsample_bytree': np.float64(0.8733054075301833), 'learning_rate': np.float64(0.07962309016748462), 'max_depth': 10, 'min_child_samples': 56, 'n_estimators': 134, 'num_leaves': 50, 'reg_alpha': np.float64(0.000535728006960183), 'reg_lambda': np.float64(0.10506199451597038), 'subsample': np.float64(0.7700623497964979)}",D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\tuned_lightgbm.pkl
XGBoost,base,0.5,0.896763621466612,0.6648936170212766,0.6756756756756757,0.6544502617801047,0.9309518421233304,0.7368229660623239,370,1939,120,132,250,0.9418544573272243,0.0035059293272456313,0.941710750140798,0.003435496596838421,0.9441326301648573,0.0047586611310997985,0.9393057987161123,0.002331009680979344,0.9872936263304295,0.0015454482181401945,13.58,,D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\xgboost_base.pkl
LightGBM,base,0.25,0.8738222040147481,0.6666666666666666,0.5682656826568265,0.806282722513089,0.9316542875232984,0.7360899185772876,542,1825,234,74,308,0.9418545309898787,0.0033981905935197405,0.9416912205842312,0.0035320516983361754,0.9442366254833608,0.00308500989564453,0.9391838500126738,0.006175020811610894,0.9871321499970268,0.0016510937752765597,12.15,,D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\lightgbm_base.pkl
XGBoost,base,0.25,0.8746415403523147,0.6637362637362637,0.571969696969697,0.7905759162303665,0.9309518421233304,0.7368229660623239,528,1833,226,80,302,0.9418544573272243,0.0035059293272456313,0.941710750140798,0.003435496596838421,0.9441326301648573,0.0047586611310997985,0.9393057987161123,0.002331009680979344,0.9872936263304295,0.0015454482181401945,13.58,,D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\xgboost_base.pkl
XGBoost,tuned,0.25,0.8750512085210979,0.6637265711135611,0.5733333333333334,0.7879581151832461,0.9318697888722478,0.7438391609884235,525,1835,224,81,301,0.9449501487985621,0.002038924708707903,0.9449587156275949,0.0020745134671914557,0.9447893744224446,0.0017593187511796948,0.9451328835599885,0.0031699797063297554,0.988469272165655,0.0013020276167884873,6.01,"{'colsample_bytree': np.float64(0.7297380084021096), 'gamma': np.float64(0.061043977350336676), 'learning_rate': np.float64(0.03359658305322321), 'max_depth': 8, 'min_child_weight': 1, 'n_estimators': 484, 'subsample': np.float64(0.6911740650167767)}",D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\tuned_xgboost.pkl
LightGBM,tuned,0.25,0.8697255223269152,0.6587982832618026,0.5581818181818182,0.8036649214659686,0.9315404977254754,0.7411703736971362,550,1816,243,75,307,0.9427649645682632,0.0031909609765318264,0.9427976055110328,0.0031657884950278504,0.9422919278713421,0.004010640993162818,0.9433117583603021,0.0033762810458589387,0.9877199013981439,0.0013829124503111855,2.43,"{'colsample_bytree': np.float64(0.8733054075301833), 'learning_rate': np.float64(0.07962309016748462), 'max_depth': 10, 'min_child_samples': 56, 'n_estimators': 134, 'num_leaves': 50, 'reg_alpha': np.float64(0.000535728006960183), 'reg_lambda': np.float64(0.10506199451597038), 'subsample': np.float64(0.7700623497964979)}",D:\_Trabajos\Desktop\Proyecto AD\dp261-g4\models\tuned_lightgbm.pkl
Random Forest,final_test,0.25,0.8430970913560016,0.6362773029439696,0.4992548435171386,0.8769633507853403,0.9210000025427889,0.6940099020564094,671,1723,336,47,335,,,,,,,,,,,,,
