comparison_group,stage,sprint,pb,role,responsible,model,version,source_notebook,model_path,cv_accuracy,cv_f1,cv_precision,cv_recall,cv_roc_auc,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc,selected_as_final,notes
Decision Tree,baseline,Sprint 3,PB-10/PB-11,Modeling Baseline,Equipo,Decision Tree,baseline,notebooks/09_baseline_models.ipynb,models/baseline_decision_tree.pkl,0.8693,0.5487,0.547,0.5507,0.7368,,,,,,,False,Modelo baseline del Sprint 3. Fue considerado como candidato para tuning en Sprint 4.
Decision Tree,tuned,Sprint 4,PB-13,Hyperparameter Tuner,Perla,Decision Tree,tuned,notebooks/12_hyperparam_tuning.ipynb,,,0.913743,,,,,0.635945,0.567901,0.722513,0.855736,0.566101,False,"Modelo Decision Tree tuneado. Mejora el F1 CV respecto al baseline, pero no fue seleccionado como modelo final."
Random Forest,baseline,Sprint 3,PB-10/PB-11,Modeling Baseline,Equipo,Random Forest,baseline,notebooks/09_baseline_models.ipynb,models/baseline_random_forest.pkl,0.9061,0.6294,0.7299,0.5533,0.9179,,,,,,,False,Modelo baseline del Sprint 3. Fue uno de los principales candidatos para tuning en Sprint 4.
Random Forest,tuned,Sprint 4,PB-13,Hyperparameter Tuner,Perla,Random Forest,tuned,notebooks/12_hyperparam_tuning.ipynb,models/best_tuned_model.pkl,,0.946136,,,,0.8955,0.673496,0.659148,0.688482,0.921,0.69401,False,Mejor modelo tuneado del bloque PB-13. Fue seleccionado para validación final en test.
Random Forest,final_test,Sprint 4,PB-15,Final Validator,Nikol,Random Forest,final_test,notebooks/14_evaluacion final del Test.ipynb,models/final_model.pkl,,,,,,0.8955,0.6735,0.6591,0.6885,0.921,,True,Modelo final del Sprint 4 validado en test set. Corresponde al Random Forest tuneado por Perla.
SVM,baseline,Sprint 3,PB-10/PB-11,Modeling Baseline,Equipo,SVM,baseline,notebooks/09_baseline_models.ipynb,models/baseline_svm.pkl,0.9024,0.5937,0.7437,0.4943,0.8629,,,,,,,False,Modelo baseline del Sprint 3. Fue considerado como candidato para tuning en Sprint 4.
SVM,tuned,Sprint 4,PB-13,Hyperparameter Tuner,Perla,SVM,tuned,notebooks/12_hyperparam_tuning.ipynb,,,0.930477,,,,,0.609877,0.577103,0.646597,0.861732,0.639522,False,"Modelo SVM tuneado. Mejora el F1 CV respecto al baseline, pero no fue seleccionado como modelo final."
XGBoost,advanced_base,Sprint 4,PB-14,Ensemble Engineer,Julio,XGBoost,base,notebooks/13_ensembles.ipynb,models/xgboost_base.pkl,0.941673,0.941779,0.940017,0.943553,0.987602,,,,,,,False,Modelo avanzado base de Gradient Boosting.
XGBoost,advanced_tuned,Sprint 4,PB-14,Ensemble Engineer,Julio,XGBoost,tuned,notebooks/13_ensembles.ipynb,models/tuned_xgboost.pkl,0.944646,0.945028,0.938584,0.951566,0.988488,,,,,,,False,Mejor modelo del bloque PB-14. Su F1 CV fue muy cercano al Random Forest tuneado.
LightGBM,advanced_base,Sprint 4,PB-14,Ensemble Engineer,Julio,LightGBM,base,notebooks/13_ensembles.ipynb,models/lightgbm_base.pkl,0.939791,0.939847,0.938942,0.940761,0.986877,,,,,,,False,Modelo avanzado base de Gradient Boosting.
LightGBM,advanced_tuned,Sprint 4,PB-14,Ensemble Engineer,Julio,LightGBM,tuned,notebooks/13_ensembles.ipynb,models/tuned_lightgbm.pkl,0.943433,0.943467,0.942898,0.944039,0.987803,,,,,,,False,Segundo mejor modelo del bloque PB-14.
Other Baselines,baseline,Sprint 3,PB-10/PB-11,Modeling Baseline,Equipo,Logistic Regression,baseline,notebooks/09_baseline_models.ipynb,models/baseline_logistic_regression.pkl,0.893,0.5108,0.7492,0.3877,0.8937,,,,,,,False,Modelo baseline del Sprint 3. No fue seleccionado como candidato principal para Sprint 4.
Other Baselines,baseline,Sprint 3,PB-10/PB-11,Modeling Baseline,Equipo,KNN,baseline,notebooks/09_baseline_models.ipynb,models/baseline_knn.pkl,0.8938,0.541,0.7184,0.4345,0.8046,,,,,,,False,Modelo baseline del Sprint 3. No fue seleccionado como candidato principal para Sprint 4.
